Farbe,Platz_A1,Platz_A2,Platz_A3,Platz_A4,Platz_A5,Platz_B1,Platz_B2,Platz_B3,Platz_B4,Platz_B5,Platz_C1,Platz_C2,Platz_C3,Platz_C4,Platz_C5,Einlagerlinie
0.99,0,0,0.99,0.99,0.99,0,0,0.59,0.59,0.59,0,0,0.79,0.79,0.99,10
0.99,0,0,0.99,0.99,0.99,0,0,0.59,0.59,0.59,0,0,0.79,0.79,0.99,10
0.59,0,0.99,0.99,0.99,0.99,0,0,0.59,0.59,0.59,0,0,0,0.79,0.79,20
0.79,0,0.99,0.99,0.99,0.99,0,0.59,0.59,0.59,0.59,0,0,0,0,0.79,30
0.79,0,0.99,0.99,0.99,0.99,0,0.59,0.59,0.59,0.59,0,0,0,0,0.79,30
0.79,0,0,0.99,0.99,0.99,0,0.59,0.59,0.59,0.59,0,0,0,0.79,0.79,30
0.79,0,0,0.99,0.99,0.99,0,0,0.59,0.59,0.59,0,0,0.79,0.79,0.79,30
0.99,0,0,0.99,0.99,0.99,0,0,0,0.59,0.59,0,0.79,0.79,0.79,0.79,10
0.59,0,0,0.99,0.99,0.99,0,0,0,0.59,0.59,0,0.79,0.79,0.79,0.79,20
0.59,0,0,0,0.99,0.99,0,0,0.59,0.59,0.59,0,0.79,0.79,0.79,0.79,20
0.99,0,0,0,0.99,0.99,0,0,0.59,0.59,0.59,0,0.79,0.79,0.79,0.79,10
0.79,0,0,0,0.99,0.99,0,0,0.59,0.59,0.59,0,0.79,0.79,0.79,0.79,30
0.79,0,0,0,0.99,0.99,0,0,0.59,0.59,0.59,0,0.79,0.79,0.79,0.79,30
0.99,0,0,0,0,0.99,0,0,0.59,0.59,0.59,0.79,0.79,0.79,0.79,0.79,10
0.59,0,0,0,0,0.99,0,0,0.59,0.59,0.59,0.79,0.79,0.79,0.79,0.79,20
0.99,0,0,0,0,0.99,0,0.59,0.59,0.59,0.59,0,0.79,0.79,0.79,0.79,10
0.99,0,0,0,0.99,0.99,0,0.59,0.59,0.59,0.59,0,0,0.79,0.79,0.79,10
0.99,0,0,0,0.99,0.99,0,0.59,0.59,0.59,0.59,0,0,0.79,0.79,0.79,10
0.99,0,0,0.99,0.99,0.99,0,0,0.59,0.59,0.59,0,0,0.79,0.79,0.79,10
0.59,0,0.99,0.99,0.99,0.99,0,0,0,0.59,0.59,0,0,0.79,0.79,0.79,20
0.59,0,0.99,0.99,0.99,0.99,0,0,0.59,0.59,0.59,0,0,0,0.79,0.79,20
0.79,0,0,0.99,0.99,0.99,0,0.59,0.59,0.59,0.59,0,0,0,0.79,0.79,30
0.79,0,0,0.99,0.99,0.99,0,0,0.59,0.59,0.59,0,0,0.79,0.79,0.79,30
0.79,0,0,0.99,0.99,0.99,0,0,0.59,0.59,0.59,0,0,0.79,0.79,0.79,30
0.99,0,0,0.99,0.99,0.99,0,0,0.59,0.59,0.59,0,0,0.79,0.79,0.79,10
0.99,0,0.99,0.99,0.99,0.99,0,0,0,0.59,0.59,0,0,0.79,0.79,0.79,10
0.79,0.99,0.99,0.99,0.99,0.99,0,0,0,0,0.59,0,0,0.79,0.79,0.79,30
0.59,0,0.99,0.99,0.99,0.99,0,0,0,0,0.59,0,0.79,0.79,0.79,0.79,20
0.79,0,0.99,0.99,0.99,0.99,0,0,0,0,0.59,0,0.79,0.79,0.79,0.79,30
0.79,0,0.99,0.99,0.99,0.99,0,0,0,0,0,0.79,0.79,0.79,0.79,0.79,20
0.79,0,0,0.99,0.99,0.99,0,0,0,0,0.79,0.79,0.79,0.79,0.79,0.79,20
